query,doc_tf,url_tf,doc_idf,url_idf,doc_tf-idf,url_tf-idf,url_length,doc_length,page_rank,outgoing_links
food,0.0,0.0,2.2244223375325753,1.6236225474260568,0.0,0.0,68,6208,0.0176056338028169,24
food,0.0008613264427217916,0.0,2.2244223375325753,1.6236225474260568,0.0019159537790978255,0.0,73,6078,0.0176056338028169,24
food,0.0,0.0,2.2244223375325753,1.6236225474260568,0.0,0.0,64,6133,0.0176056338028169,24
food,0.0,0.0,2.2244223375325753,1.6236225474260568,0.0,0.0,66,6257,0.0176056338028169,24
food,0.0076465590484282074,0.5,2.2244223375325753,1.6236225474260568,0.01700917675258554,0.8118112737130284,34,6461,0.016901408450704227,17
food,0.006282124500285551,0.5,2.2244223375325753,1.6236225474260568,0.013974098065595847,0.8118112737130284,34,10547,0.016901408450704227,20
food,0.003206841261357563,0.5,2.2244223375325753,1.6236225474260568,0.007133369334684903,0.8118112737130284,34,10012,0.016901408450704227,27
food,0.011466505733252867,0.5,2.2244223375325753,1.6236225474260568,0.02550635148649302,0.8118112737130284,34,9768,0.016901408450704227,23
food,0.003908431044109436,0.5,2.2244223375325753,1.6236225474260568,0.008694001319222796,0.8118112737130284,34,9915,0.016901408450704227,27
food,0.023514851485148515,0.3333333333333333,2.2244223375325753,1.6236225474260568,0.05230696090732541,0.5412075158086855,35,5471,0.009903169014084506,8
food,0.011251758087201125,0.2,2.2244223375325753,1.6236225474260568,0.025028662025682987,0.32472450948521137,48,4080,0.005611795774647888,2
food,0.040345821325648415,0.4,2.2244223375325753,1.6236225474260568,0.08974614618287048,0.6494490189704227,56,2193,0.005611795774647888,2
food,0.009345794392523364,0.0,2.2244223375325753,1.6236225474260568,0.020788993808715656,0.0,75,3817,0.003985802705672239,0
food,0.014423076923076924,0.0,2.2244223375325753,1.6236225474260568,0.03208301448364292,0.0,32,1096,0.0034617377745340314,20
food,0.0018867924528301887,0.2,2.2244223375325753,1.6236225474260568,0.00419702327836335,0.32472450948521137,61,3592,0.003191021126760563,2
food,0.040214477211796246,0.25,2.2244223375325753,1.6236225474260568,0.08945398140211429,0.4059056368565142,76,2099,0.003191021126760563,0
food,0.0,0.0,2.2244223375325753,1.6236225474260568,0.0,0.0,36,397,0.00248251349340209,11
food,0.007334963325183374,0.0,2.2244223375325753,1.6236225474260568,0.016316056265520112,0.0,35,2274,0.002156105399691443,22
food,0.003286770747740345,0.0,2.2244223375325753,1.6236225474260568,0.007311166269622269,0.0,28,5721,0.002156105399691443,30
food,0.015151515151515152,0.0,2.2244223375325753,1.6236225474260568,0.03370336875049357,0.0,50,770,0.002156105399691443,20
food,0.0003439972480220158,0.0,2.2244223375325753,1.6236225474260568,0.0007651951625499055,0.0,45,30910,0.002156105399691443,20
food,0.0009037505648441031,0.0,2.2244223375325753,1.6236225474260568,0.002010322943996905,0.0,39,12232,0.002156105399691443,20
food,0.00966183574879227,0.0,2.2244223375325753,1.6236225474260568,0.021492003261184302,0.0,38,1169,0.002156105399691443,31
food,0.0017605633802816902,0.3333333333333333,2.2244223375325753,1.6236225474260568,0.0039162365097404495,0.5412075158086855,79,15633,0.0,0
food,0.007326007326007326,1.0,2.2244223375325753,1.6236225474260568,0.016296134340897987,1.6236225474260568,33,1733,0.0,0
food,0.0011933174224343676,0.0,2.2244223375325753,1.6236225474260568,0.0026544419302298038,0.0,33,5335,0.0,0
food,0.0018226002430133657,0.0,2.2244223375325753,1.6236225474260568,0.004054232692951231,0.0,39,9606,0.0,4
food,0.004366812227074236,0.3333333333333333,2.2244223375325753,1.6236225474260568,0.009713634661714302,0.5412075158086855,43,6969,0.0,1
food,0.01904761904761905,0.25,2.2244223375325753,1.6236225474260568,0.04236994928633477,0.4059056368565142,48,841,0.0,14
food,0.001949317738791423,0.0,2.2244223375325753,1.6236225474260568,0.004336105921116131,0.0,39,3065,0.0,26
food,0.0013986013986013986,0.25,2.2244223375325753,1.6236225474260568,0.0031110801923532523,0.4059056368565142,51,11922,0.0,0
food,0.000689655172413793,0.0,2.2244223375325753,1.6236225474260568,0.0015340843707121207,0.0,39,8443,0.0,13
food,0.0064516129032258064,0.0,2.2244223375325753,1.6236225474260568,0.014351111855048873,0.0,38,2759,0.0,1
food,0.01762114537444934,0.0,2.2244223375325753,1.6236225474260568,0.03919686938383393,0.0,20,2863,0.0,1
food,0.0012484394506866417,0.0,2.2244223375325753,1.6236225474260568,0.0027770566011642637,0.0,34,4693,0.0,21
food,0.0,0.0,2.2244223375325753,1.6236225474260568,0.0,0.0,20,17967,0.0,6
food,0.0018464785017145871,0.0,2.2244223375325753,1.6236225474260568,0.0041073480249876095,0.0,55,20559,0.0,16
food,0.008281573498964804,0.25,2.2244223375325753,1.6236225474260568,0.01842171708101512,0.4059056368565142,47,2858,0.0,37
food,0.0002376990729736154,0.0,2.2244223375325753,1.6236225474260568,0.0005287431275332958,0.0,80,23517,0.0,38
